run_tag,nodes,qps,duration,warmup,seed,mode,netem,rows,ok,success_rate_pct,achieved_qps,p50_ms,p95_ms,p99_ms,csv
exp_20260920-064210Z_N8_q20_d15,8,20,15,30,20260919,host,on,300,300,100.00,20.000,2.874,123.782,211.114,results/exp_20260920-064210Z_N8_q20_d15.csv
exp_20260920-065055Z_N8_q10_d30,8,10,30,30,20260919,host,on,300,300,100.00,10.000,163.130,370.319,466.792,results/exp_20260920-065055Z_N8_q10_d30.csv
exp_20260920-071829Z_N8_q10_d30_nodes,8,10,30,30,20260919,nodes,on,300,293,97.67,10.000,879.535,3381.159,4299.011,results/exp_20260920-071829Z_N8_q10_d30_nodes.csv
exp_20260920-072052Z_N8_q10_d30_nodes,8,10,30,30,20260919,nodes,on,300,290,96.67,10.000,892.719,3298.606,4290.989,results/exp_20260920-072052Z_N8_q10_d30_nodes.csv
exp_20260920-072222Z_N8_q10_d30,8,10,30,30,20260919,host,on,300,300,100.00,10.000,3.356,123.509,214.176,results/exp_20260920-072222Z_N8_q10_d30.csv
exp_20260920-073337Z_N8_q10_d30_nodes,8,10,30,30,20260919,nodes,on,300,231,77.00,10.000,9.731,2845.234,4041.864,results/exp_20260920-073337Z_N8_q10_d30_nodes.csv
exp_20260920-074238Z_N64_q10_d30_nodes,64,10,30,30,20260919,nodes,on,300,14,4.67,10.000,2334.067,4507.322,4610.421,results/exp_20260920-074238Z_N64_q10_d30_nodes.csv
exp_20260920-074709Z_N64_q10_d30_nodes,64,10,30,180,20260919,nodes,on,300,72,24.00,10.000,639.932,4044.541,4763.883,results/exp_20260920-074709Z_N64_q10_d30_nodes.csv
exp_20260920-081008Z_N64_q10_d30_nodes,64,10,30,30,20260919,nodes,on,300,74,24.67,10.000,1275.969,4516.479,4834.394,results/exp_20260920-081008Z_N64_q10_d30_nodes.csv
exp_20260920-081941Z_N8_q10_d30_nodes,8,10,30,30,20260919,nodes,on,300,299,99.67,10.000,247.007,895.465,1293.336,results/exp_20260920-081941Z_N8_q10_d30_nodes.csv
exp_20260920-082112Z_N64_q10_d30_nodes,64,10,30,30,20260919,nodes,on,300,86,28.67,10.000,480.923,3962.864,4582.750,results/exp_20260920-082112Z_N64_q10_d30_nodes.csv
exp_20260920-082830Z_N64_q10_d30_nodes,64,10,30,30,20260919,nodes,on,300,67,22.33,10.000,744.105,4350.689,4753.550,results/exp_20260920-082830Z_N64_q10_d30_nodes.csv
exp_20260920-083754Z_N64_q10_d30_nodes,64,10,30,30,20260919,nodes,on,300,63,21.00,10.000,651.238,4223.213,4468.341,results/exp_20260920-083754Z_N64_q10_d30_nodes.csv
exp_20260920-084432Z_N64_q10_d30_nodes,64,10,30,30,20260919,nodes,on,300,55,18.33,10.000,653.496,3726.039,4419.572,results/exp_20260920-084432Z_N64_q10_d30_nodes.csv
exp_20260920-085013Z_N64_q10_d30_nodes,64,10,30,30,20260919,nodes,off,300,102,34.00,10.000,6.872,4016.790,4559.186,results/exp_20260920-085013Z_N64_q10_d30_nodes.csv
exp_20260920-090145Z_N64_q10_d30_nodes,64,10,30,30,20260919,nodes,on,300,36,12.00,10.000,448.487,4485.103,4524.867,results/exp_20260920-090145Z_N64_q10_d30_nodes.csv
exp_20260920-090747Z_N64_q10_d30_nodes,64,10,30,30,20260919,nodes,on,300,88,29.33,10.000,599.141,4402.999,4542.896,results/exp_20260920-090747Z_N64_q10_d30_nodes.csv
exp_20260920-091630Z_N64_q10_d30_nodes,64,10,30,30,20260919,nodes,on,300,37,12.33,10.000,1096.196,4754.747,4858.640,results/exp_20260920-091630Z_N64_q10_d30_nodes.csv
exp_20260920-092129Z_N64_q10_d30_nodes,64,10,30,30,20260919,nodes,on,300,20,6.67,10.000,792.743,4300.227,4342.473,results/exp_20260920-092129Z_N64_q10_d30_nodes.csv
exp_20260920-092859Z_N64_q10_d30_nodes,64,10,30,30,20260919,nodes,on,300,46,15.33,10.000,413.899,4119.111,4527.689,results/exp_20260920-092859Z_N64_q10_d30_nodes.csv
exp_20260920-093426Z_N64_q10_d30_nodes,64,10,30,60,20260919,nodes,on,300,9,3.00,10.000,475.213,4622.270,4623.195,results/exp_20260920-093426Z_N64_q10_d30_nodes.csv
exp_20260920-094018Z_N8_q10_d30_nodes,8,10,30,30,20260919,nodes,on,300,300,100.00,10.000,289.788,895.280,1302.034,results/exp_20260920-094018Z_N8_q10_d30_nodes.csv
exp_20260920-094151Z_N32_q10_d30_nodes,32,10,30,30,20260919,nodes,on,300,293,97.67,10.000,512.282,1544.163,2761.489,results/exp_20260920-094151Z_N32_q10_d30_nodes.csv
